Num_NIL,NIL,Municipio,prezzo_mq
17,Adriano,2,Ä 2.800 /m≤
80,Affori,9,Ä 2.350 /m≤
87,Assiano,7,Ä 2.400 /m≤
55,Baggio - Q.re degli Olmi - Q.re Valsesia,7,Ä 2.400 /m≤
52,Bande Nere,6,Ä 3.857 /m≤
46,Barona,6,Ä 3.250 /m≤
15,Bicocca,9,Ä 2.950 /m≤
77,Bovisa,9,Ä 2.550 /m≤
81,Bovisasca,9,Ä 2.000 /m≤
2,Brera,1,Ä 7.600 /m≤
83,Bruzzano,9,Ä 2.150 /m≤
21,Buenos Aires - Porta Venezia - Porta Monforte,3,Ä 6.650 /m≤
47,Cantalupa,6,Ä 3.717 /m≤
34,Chiaravalle,5,Ä 2.700 /m≤
18,Cimiano - Rottole - Q.re Feltre,3,Ä 2.780 /m≤
22,Città studi,3,Ä 4.450 /m≤
82,Comasina,9,Ä 1.750 /m≤
25,Corsica,4,Ä 4.747 /m≤
58,De Angeli-Monte Rosa,7,Ä 5.986 /m≤
79,Dergano,9,Ä 2.750 /m≤
1,Duomo,1,Ä 7.100 /m≤
78,Farini,9,Ä 5.652 /m≤
63,Figino,7,Ä 2.000 /m≤
56,Forze Armate,7,Ä 2.700 /m≤
70,Ghisolfa,8,Ä 5.652 /m≤
49,Giambellino,6,Ä 3.717 /m≤
3,Giardini Porta Venezia,1,Ä 6.650 /m≤
16,Gorla - Precotto,2,Ä 2.800 /m≤
41,Gratosoglio - Q.re Missaglia - Q.re Terrazze,5,Ä 2.250 /m≤
4,Guastalla,1,Ä 7.300 /m≤
11,Isola,9,Ä 5.550 /m≤
23,Lambrate - Ortica,3,Ä 3.550 /m≤
35,Lodi-Corvetto,4,Ä 4.200 /m≤
53,Lorenteggio,6,Ä 3.100 /m≤
7,Magenta- San Vittore,1,Ä 5.325 /m≤
72,Maggiore - Musocco - Certosa,8,Ä 3.079 /m≤
73,MIND - Cascina Triulza,8,Ä 3.079 /m≤
45,Moncucco - San Cristoforo,6,Ä 1.325 /m≤
31,Monluè - Ponte Lambro,4,Ä 2.478 /m≤
37,Morivione,5,Ä 3.595 /m≤
54,Muggiano,7,Ä 2.200 /m≤
14,Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi,9,Ä 2.550 /m≤
29,Ortomercato,4,Ä 4.005 /m≤
19,Padova - Turro - Crescenzago,2,Ä 2.900 /m≤
68,Pagano,8,Ä 8.325 /m≤
88,Parco Bosco in città,7,Ä 3.265 /m≤
86,Parco dei Navigli,6,Ä 1.800 /m≤
85,Parco delle Abbazie,5,Ä 4.300 /m≤
84,Parco Nord,9,Ä 6.800 /m≤
8,Parco Sempione,1,Ä 5.800 /m≤
9,Porta Garibaldi - Porta Nuova,9,Ä 7.350 /m≤
50,Porta Genova,6,Ä 6.100 /m≤
51,Porta Magenta,7,Ä 1.597 /m≤
6,Porta Ticinese - Conca del Naviglio,5,Ä 6.150 /m≤
44,Porta Ticinese - Conchetta,6,Ä 6.150 /m≤
5,Porta Vigentina - Porta Lodovica,5,Ä 6.200 /m≤
67,Portello,8,Ä 4.300 /m≤
65,Q.re Gallaratese - Q.re San Leonardo - Lampugnano,8,Ä 2.650 /m≤
66,QT8,8,Ä 3.800 /m≤
61,Quarto Cagnino,7,Ä 2.241 /m≤
76,Quarto Oggiaro - Vialba - Musocco,8,Ä 1.700 /m≤
62,Quinto Romano,7,Ä 2.250 /m≤
39,Quintosole,5,Ä 2.910 /m≤
33,Rogoredo - Santa Giulia,4,Ä 2.550 /m≤
40,Ronchetto delle Rane,5,Ä 4.350 /m≤
48,Ronchetto sul Naviglio - Q.re Lodovico il Moro,6,Ä 2.563 /m≤
74,Roserio,8,Ä 6.950 /m≤
57,San Siro,7,Ä 3.150 /m≤
69,Sarpi,8,Ä 5.652 /m≤
36,Scalo Romana,5,Ä 3.595 /m≤
42,Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata,5,Ä 3.427 /m≤
60,Stadio - Ippodromi,7,Ä 3.265 /m≤
10,Stazione Centrale - Ponte Seveso,2,Ä 4.950 /m≤
75,Stephenson,8,Ä 3.079 /m≤
30,Taliedo - Morsenchio - Q.re Forlanini,4,Ä 2.950 /m≤
43,Tibaldi,5,Ä 2.750 /m
59,Tre Torri,8,Ä 5.986 /m≤
64,Trenno,8,Ä 2.350 /m≤
32,Triulzo Superiore,4,Ä 2.626 /m≤
28,Umbria - Molise - Calvairate,4,Ä 3.069 /m≤
38,Vigentino - Q.re Fatima,5,Ä 3.200 /m≤
71,Villapizzone - Cagnola - Boldinasco,8,Ä 2.350 /m≤
26,XXII Marzo,4,Ä 5.500 /m≤
